Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"Who was the first president of the United States?",George Washington,Thomas Jefferson,Abraham Lincoln,James Madison,0,1
"In which year did World War II end?",1939,1940,1944,1945,3,1
"What is the ancient Egyptian writing system called?",Cuneiform,Hieroglyphics,Latin,Greek,1,2
"Which empire was ruled by Julius Caesar?",Roman Empire,Ottoman Empire,Persian Empire,Byzantine Empire,0,2
"Who invented the telephone?",Alexander Graham Bell,Thomas Edison,Samuel Morse,Michael Faraday,0,3
"Who was the first woman to fly solo across the Atlantic?",Amelia Earhart,Bessie Coleman,Harriet Tubman,Clara Barton,0,3
"Which country did the United States fight during the War of 1812?",Great Britain,France,Spain,Germany,0,3
"What was the name of the ship that brought the Pilgrims to America?",Mayflower,Endeavour,Discovery,Beagle,0,3
"Which historical figure was known as the 'Maid of Orleans'?",Joan of Arc,Catherine the Great,Queen Elizabeth I,Napoleon Bonaparte,0,3
"Who was the first emperor of China?",Qin Shi Huang,Emperor Wu,Emperor Taizong,Liu Bang,0,3
"In which year did the Titanic sink?",1910,1912,1914,1916,1,3
"Who was the leader of the Soviet Union during World War II?",Joseph Stalin,Leon Trotsky,Nikita Khrushchev,Mikhail Gorbachev,0,4
"What was the ancient city of Troy located?",Turkey,Greece,Italy,Persia,0,4
"Which civilization built the Machu Picchu?",Inca,Aztec,Maya,Olmec,0,4
"Who was the first king of Israel?",David,Saul,Solomon,Rehoboam,1,4
"What was the significance of the Magna Carta?",It limited the power of the king,It ended the Roman Empire,It established the monarchy,It reformed the church,0,5
"Which war was fought between the North and South in the United States?",The Civil War,The Revolutionary War,The War of 1812,The Spanish-American War,0,5
"Which ancient empire was known for its advanced roads and aqueducts?",Roman Empire,Mayan Empire,Persian Empire,Inca Empire,0,5
"What was the primary cause of the fall of the Roman Empire?",Barbarian invasions,Plague,Internal corruption,Religious conflict,0,5
"Who was the leader of the Mongol Empire?",Genghis Khan,Kublai Khan,Tamerlane,Hun,0,5
"Which event started World War I?",Assassination of Archduke Franz Ferdinand,Battle of Waterloo,The Russian Revolution,The signing of the Treaty of Versailles,0,5
"Which treaty ended World War I?",Treaty of Versailles,Treaty of Paris,Treaty of Tordesillas,Treaty of Ghent,0,5
"Which war was fought between 1950 and 1953 in East Asia?",Korean War,Chinese Civil War,Japanese War,Indochina War,0,6
"Which empire was led by Alexander the Great?",Macedonian Empire,Persian Empire,Ottoman Empire,Roman Empire,0,6
"Who was the leader of the Bolshevik Revolution in Russia?",Vladimir Lenin,Joseph Stalin,Leon Trotsky,Tsar Nicholas II,0,6
"What was the name of the ship that carried the first Africans to America?",The Mayflower,The White Lion,The Godspeed,The Arbella,1,10
"Which famous battle was fought in 1066?",Battle of Hastings,Battle of Waterloo,Battle of the Bulge,Battle of Agincourt,0,10
"Which country did the United States purchase Alaska from?",Russia,France,Great Britain,Spain,0,10
"What year did the Berlin Wall fall?",1987,1989,1991,1993,1,10
"Who was the first human to travel into space?",Yuri Gagarin,Neil Armstrong,John Glenn,Valentina Tereshkova,0,10
"Who was the queen of France during the French Revolution?",Marie Antoinette,Catherine de Medici,Elizabeth I,Anne Boleyn,0,10
"Which empire ruled the Middle East during the 7th to 13th centuries?",Ottoman Empire,Byzantine Empire,Mongol Empire,Abbasid Caliphate,3,10
"Which country was the first to grant women the right to vote?",USA,New Zealand,Sweden,Canada,1,10
"Who wrote the Declaration of Independence?",George Washington,Thomas Jefferson,Abraham Lincoln,James Madison,1,10
"Which ancient civilization built the Pyramids of Giza?",Ancient Egypt,Ancient Mesopotamia,Ancient Greece,Ancient Rome,0,10
"What empire was led by the pharaohs?",Ancient Egypt,Byzantine Empire,Persian Empire,Ottoman Empire,0,10
"Who was the first female prime minister of the United Kingdom?",Margaret Thatcher,Angela Merkel,Indira Gandhi,Golda Meir,0,10
"Which empire did the Byzantine Empire succeed?",Roman Empire,Mongol Empire,Ottoman Empire,Persian Empire,0,10
"Which civilization was known for its advanced mathematics and calendar?",Maya,Aztec,Inca,Olmec,0,10
