Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"What does HTTP stand for?",HyperText Transport Protocol,HyperText Transfer Protocol,HyperType Transfer Protocol,Hyper Transfer Text Protocol,1,7
"What is the main function of a motherboard?",Provide power to the computer,House the CPU,Store data,Provide input/output ports,1,8
"Which programming language is primarily used for web development?",Python,JavaScript,Java,Swift,1,9
"What is the full form of the abbreviation 'URL'?",Uniform Resource Locator,Uniform Resource Language,Universal Resource Locator,Universal Resource Language,1,8
"In what year was the first iPhone released?",2007,2006,2005,2008,0,9
"What is the process of converting human-readable data into machine code called?",Encoding,Decoding,Compression,Encryption,0,10
"What is the core function of an operating system?",Manage hardware and software resources,Process data,Encrypt information,Develop applications,0,10
"Which company developed the Android operating system?",Google,Microsoft,Apple,IBM,0,10
"What does CPU stand for?",Central Processing Unit,Central Program Unit,Central Programming Unit,Centralized Processing Unit,0,9
"Which of these is an example of a database management system?",MySQL,WordPress,Windows,Excel,0,10
"Which programming language is known for its simplicity and readability?",Python,Java,C++,Ruby,0,10
"What is a 'bug' in computer programming?",An error in the code,An additional feature,The user interface,A hardware component,0,10
"Which of the following is an example of a cloud storage service?",Google Drive,Adobe Photoshop,Microsoft Word,Windows,0,10
"What does the acronym 'DNS' stand for?",Domain Name System,Domain Network System,Digital Name System,Direct Network Service,0,10
"What programming language is primarily used for iOS app development?",Objective-C,Swift,C++,Java,1,9
"Which technology is primarily used for virtual reality?",AR,VR,AI,Machine Learning,1,10
"Which of these devices is an example of a wearable technology?",Smartwatch,Smartphone,Laptop,Tablet,0,10
"Which file extension is commonly used for images?",.jpg,.exe,.mp4,.doc,0,10
"Which technology allows the use of voice assistants?",Natural Language Processing,Augmented Reality,Artificial Intelligence,Virtual Reality,2,10
"What does the term 'IoT' stand for?",Internet of Things,Internet of Time,Interface of Technology,Intranet of Things,0,10
"What is the function of a router in a network?",Transmit data between devices,Store data,Provide power,Encrypt communication,0,10
"Which programming language is known as the language of the web?",HTML,C++,JavaScript,Swift,2,10
"Which technology is primarily used for self-driving cars?",Machine Learning,Virtual Reality,Quantum Computing,Augmented Reality,0,10
"What does 'UI' stand for in the context of software development?",User Interface,Unified Interface,User Intelligence,Unified Information,0,10
"What is blockchain primarily used for?",Cryptocurrency,Web development,Machine learning,Data storage,0,10
"Which of the following is a popular cloud computing platform?",AWS,GitHub,Google Chrome,Facebook,0,10
"Which technology is at the heart of 3D printing?",Additive Manufacturing,Subtractive Manufacturing,3D Modeling,Virtual Reality,0,10
"What is the name of the company that developed Windows?",Apple,Microsoft,Google,IBM,1,10
"Which type of machine learning involves teaching a model by showing it labeled examples?",Supervised Learning,Unsupervised Learning,Reinforcement Learning,Deep Learning,0,10
"Which of these is used to store data in a computer?",RAM,CPU,Hard Drive,Monitor,2,10
"What does 'GPU' stand for?",Graphics Processing Unit,General Processing Unit,Global Processing Unit,Graphical Program Unit,0,10
"Which programming language is known for its use in scientific computing?",R,Java,Python,C++,0,10
"What is the main function of a web browser?",Access websites,Encrypt data,Store files,Create websites,0,10
"What is the function of the 'kernel' in an operating system?",Manage hardware,Run applications,Encrypt data,Store files,0,10
"Which of these is an open-source operating system?",Linux,Windows,macOS,Android,0,10
"Which device is commonly used to store and read digital media?",Flash Drive,Monitor,Speaker,Router,0,10
"What does 'HTTP' stand for?",HyperText Transfer Protocol,High Transfer Protocol,HyperText Transport Protocol,High Transfer Text Protocol,1,10
"Which term describes the process of transforming data into an unreadable format?",Encryption,Decryption,Encoding,Transmission,0,10
"Which company developed the first personal computer?",Apple,Microsoft,IBM,Atari,2,10
"Which programming language is primarily used for web backend development?",PHP,Swift,Python,JavaScript,0,10
"What is the function of an antivirus program?",Protect from malware,Speed up the computer,Manage files,Encrypt data,0,10
"Which of these is an example of a search engine?",Google,Bing,Yahoo,All of the above,3,10
"Which is the primary function of a database?",Store and organize data,Encrypt data,Filter data,Display data,0,10
"Which term refers to an online platform for coding competitions?",LeetCode,GitHub,Stack Overflow,Reddit,0,10
"Which technology is used in the development of chatbots?",Natural Language Processing,Quantum Computing,Blockchain,Virtual Reality,0,10
"Which type of data is typically stored in a database?",Structured Data,Unstructured Data,Multimedia Data,All of the above,0,10
