Question,Option A,Option B,Option C,Option D,Correct Answer Index,Difficulty Level
"What is the normal body temperature for humans?",98.6°F,100°F,97.6°F,101°F,0,8
"Which vitamin is produced by the human body when exposed to sunlight?",Vitamin D,Vitamin A,Vitamin C,Vitamin E,0,9
"What is the most common blood type in humans?",O+,A+,B+,AB+,0,7
"Which organ is primarily responsible for filtering blood?",Heart,Liver,Lungs,Kidneys,3,8
"Which of these diseases is caused by a viral infection?",Malaria,Diabetes,Flu,Hypertension,2,8
"What is the process of converting food into energy called?",Metabolism,Digestion,Excretion,Absorption,0,9
"Which part of the brain controls basic functions like breathing and heartbeat?",Cerebrum,Cerebellum,Medulla Oblongata,Thalamus,2,9
"What is the name of the procedure used to remove a person's appendix?",Appendectomy,Cholecystectomy,Colonoscopy,Laparotomy,0,9
"What is the most common cause of death worldwide?",Heart disease,Cancer,Diabetes,Infectious diseases,0,10
"Which type of diabetes is often diagnosed in childhood?",Type 1 Diabetes,Type 2 Diabetes,Gestational Diabetes,Pre-diabetes,0,9
"What is the largest organ in the human body?",Liver,Brain,Heart,Skin,3,10
"Which vitamin is essential for the proper functioning of the immune system?",Vitamin C,Vitamin A,Vitamin B12,Vitamin D,0,10
"What is the main function of red blood cells?",Carry oxygen,Help with digestion,Regulate body temperature,Transport nutrients,0,10
"What part of the body is affected by osteoarthritis?",Bones,Muscles,Cartilage,Organs,2,10
"Which hormone regulates blood sugar levels?",Insulin,Adrenaline,Cortisol,Thyroxine,0,10
"Which disease is caused by a lack of insulin production?",Diabetes,Hypertension,Asthma,Anemia,0,10
"Which type of blood vessel carries oxygen-rich blood away from the heart?",Artery,Vein,Capillary,Lymphatic vessel,0,10
"What is the primary function of the human liver?",Detoxification,Digestion,Excretion,Respiration,0,10
"What is the name of the condition characterized by high blood pressure?",Hypertension,Hypotension,Anemia,Arrhythmia,0,10
"What is the most common form of cancer in women?",Breast cancer,Lung cancer,Ovarian cancer,Cervical cancer,0,10
"What disease is caused by a deficiency in vitamin C?",Scurvy,Rickets,Anemia,Goiter,0,10
"What is the recommended daily intake of water for a typical adult?",8 cups,10 cups,12 cups,5 cups,0,10
"What is the medical term for a heart attack?",Myocardial infarction,Angina,Pulmonary embolism,Arrhythmia,0,10
"Which of these is an autoimmune disorder?",Rheumatoid arthritis,Asthma,Hypertension,Diabetes,0,10
"Which condition is often referred to as the 'silent killer'?",Hypertension,Asthma,Diabetes,Epilepsy,0,10
"What is the primary function of the human lungs?",Oxygenate blood,Filter waste,Regulate body temperature,Produce hormones,0,10
"What is the process of the body maintaining a stable internal environment?",Homeostasis,Digestion,Excretion,Respiration,0,10
"Which is a common cause of food poisoning?",Salmonella,Cholera,Hypertension,Diabetes,0,10
"Which vaccine is used to prevent measles?",MMR vaccine,Tetanus vaccine,Polio vaccine,Chickenpox vaccine,0,10
"Which organ is primarily responsible for detoxifying harmful substances?",Kidneys,Liver,Stomach,Heart,1,10
"What is the name of the condition where the body's immune system attacks its own tissues?",Autoimmune disease,Inflammation,Infection,Degeneration,0,11
"Which is the most common type of stroke?",Ischemic stroke,Hemorrhagic stroke,Transient ischemic attack,Brain aneurysm,0,11
"Which condition is characterized by excessive production of cortisol?",Cushing's syndrome,Addison's disease,Diabetes,Hyperthyroidism,0,11
"What is the leading cause of preventable death worldwide?",Tobacco use,Alcohol abuse,Obesity,Infectious diseases,0,11
"What is the most common type of cancer in men?",Prostate cancer,Lung cancer,Colon cancer,Pancreatic cancer,0,11
"Which part of the nervous system controls involuntary actions?",Autonomic nervous system,Somatic nervous system,Central nervous system,Peripheral nervous system,0,11
"Which is the main component of human blood?",Plasma,Red blood cells,White blood cells,Platelets,0,10
"What is the medical term for low red blood cell count?",Anemia,Leukopenia,Thrombocytopenia,Polycythemia,0,11
